industry,Job_Title,State,zip_code,City,TitleLevel
Eating And Drinking Places,%OWNER%,IL,53501,Afton,C level
Eating Places Eating and Drinking Establishments (Food),%MANAGER,WI,53505,Avalon,President
%Restaurant%,%PRESIDENT%,,53511,Beloit,Senior VP
Food & Beverages,%PRINCIPAL%,,53512,Belvidere,vp
,VICE PRESIDENT,,53525,Butte Des Morts,director
,%PARTNER%,,53534,Caledonia,manager
,%EXECUTIVE%,,53536,Capron,head
,DIRECTOR%,,53537,Cherry Valley,Controller
,%CEO%,,53542,Clinton,assistant
,Facilities Manager,,53545,Durand,manager2
,Facilities Director,,53546,Edgerton,executive
,Operations Manager,,53547,Eureka,
,Operations Director,,53548,Evansville,
,Cleaning Services Manager,,53563,Footville,
,Cleaning Services Director,,53576,Garden Prairie,
,Hospitality Manager,,54901,Hanover,
,Hospitality Director,,54902,Janesville,
,Building Manager,,54903,Larsen,
,Building Director,,54904,Loves Park,
,General Manager,,54906,Machesney Park,
,Plant Manager,,54927,Menasha,
,Chief Facilities Officer,,54934,Milton,
,%ADMINISTRATOR%,,54947,Neenah,
,ADMINISTRATIVE ASSISTANT,,54952,Omro,
,%CHAIRMAN%,,54956,Orfordville,
,%FOUNDER%,,54957,Oshkosh,
,%COO%,,54963,Pecatonica,
,CHIEF EXECUTIVE,,54964,Pickett,
,EXECUTIVE OFFICER,,54980,Poplar Grove,
,GENERAL MANAGER,,54985,Rockford,
,OFFICE MANAGER,,54986,Rockton,
,CHIEF EXECUTIVE OFFICER,,61008,Roscoe,
,EXECUTIVE DIRECTOR,,61011,Seward,
,OPERATIONS MANAGER,,61012,Shirland,
,%CONTROLLER%,,61016,South Beloit,
,BRANCH MANAGER,,61024,Waukau,
,CHIEF FINANCIAL OFFICER,,61038,Winnebago,
,%CFO%,,61063,Winneconne,
,EXECUTIVE ASSISTANT,,61065,,
,SITE MANAGER,,61072,,
,%SECRETARY%,,61073,,
,HUMAN RESOURCES MANAGER,,61077,,
,STORE MANAGER,,61079,,
,MANAGING DIRECTOR,,61080,,
,SENIOR VICE PRESIDENT,,61088,,
,DIRECTOR OF OPERATIONS,,61101,,
,CHIEF OPERATING OFFICER,,61102,,
,PURCHASING MANAGER,,61103,,
,%BUYER%,,61104,,
,PLANT MANAGER,,61105,,
,HUMAN RESOURCES EXECUTIVE,,61106,,
,DISTRICT MANAGER,,61107,,
,PRESIDENT AND CHIEF EXECUTIVE OFFICER,,61108,,
,PROPERTY MANAGER,,61109,,
,EXECUTIVE VICE PRESIDENT,,61110,,
,DIRECTOR OF HUMAN RESOURCES,,61111,,
,HUMAN RESOURCES DIRECTOR,,61112,,
,MANAGING PARTNER,,61114,,
,REGIONAL MANAGER,,61115,,
,PURCHASING AGENT,,61125,,
,OPERATIONS SUPERVISOR,,61126,,
,MAINTENANCE MANAGER,,61130,,
,VICE-PRESIDENT,,61131,,
,FACILITIES MANAGER,,61132,,
,VICE PRESIDENT OF OPERATIONS,,,,
,WAREHOUSE MANAGER,,,,
,OFFICE ADMINISTRATOR,,,,
,OFFICE ASSISTANT,,,,
,MAINTENANCE SUPERVISOR,,,,
,FACILITIES/PLANT DIRECTOR,,,,
,HR MANAGER,,,,
,AREA MANAGER,,,,
,HUMAN RESOURCE MANAGER,,,,
,%VP%,,,,
,EXECUTIVE ADMINISTRATIVE ASSISTANT,,,,
,VICE PRESIDENT OPERATIONS,,,,
,CO-OWNER,,,,
,REGIONAL DIRECTOR,,,,
,VICE PRESIDENT FINANCE,,,,
,CO-FOUNDER,,,,
,CHAIRMAN OF THE BOARD,,,,
,FACILITY MANAGER,,,,
,REGIONAL VICE PRESIDENT,,,,
,BUSINESS OWNER,,,,
,HUMAN RESOURCES COORDINATOR,,,,
,SENIOR BUYER,,,,
,DIRECTOR-HUMAN RESOURCES,,,,
,OPERATIONS COORDINATOR,,,,
,OPERATIONS DIRECTOR,,,,
,OPERATIONS EXECUTIVE,,,,
,COMMUNITY MANAGER,,,,
,VICE PRESIDENT HUMAN RESOURCES,,,,
,ADMIN ASSISTANT,,,,
,SENIOR ADMINISTRATIVE ASSISTANT,,,,
,HUMAN RESOURCE DIRECTOR,,,,
,VICE PRESIDENT OF FINANCE,,,,
,OFFICE COORDINATOR,,,,
,VICE PRESIDENT OF HUMAN RESOURCES,,,,
,Independent Business Owner,,,,
,Finance Manager,,,,
,PROGRAM MANAGER,,,,
,Owner/Operator,,,,
,President/Owner,,,,
,Company Owner,,,,
,Co Owner,,,,
,President & CEO,,,,
,Small Business Owner,,,,
,CHIEF INFORMATION OFFICER,,,,
,FINANCE EXECUTIVE,,,,
,Founder and CEO,,,,
,Owner / President,,,,
,Founder and President,,,,
,PRESIDENT AND OWNER,,,,
,MANAGEMENT,,,,
,President/CEO,,,,
,Principal Owner,,,,
,owner operator,,,,
,Owner/Manager,,,,
,Owner/President,,,,
,President and CEO,,,,
,PROGRAM DIRECTOR,,,,
,ADMINISTRATIVE SECRETARY,,,,
,Broker/Owner,,,,
,DIRECTOR OF FINANCE,,,,
,Founder & CEO,,,,
,Owner & President,,,,
